Student ID,Q1,Mid,Q2,Final,Attendance,Total,Grade
650910317,10,17,16,12,9,-,-
650910378,14,9,19,12,10,-,-
650910379,19,13,18,19,10,-,-
650910380,14,8,8,21,10,-,-
650910381,18,15,8,25,10,-,-
650910382,18,17,15,21,9,-,-
650910383,11,13,12,28,9,-,-
650910384,20,13,10,14,10,-,-
650910385,18,17,12,16,10,-,-
650910386,13,10,17,22,10,-,-
650910387,8,12,15,26,9,-,-
650910490,12,13,15,15,9,-,-
650910491,16,9,15,15,9,-,-
650910492,8,12,16,28,9,-,-
650910493,17,12,10,21,10,-,-
650910494,8,18,11,25,9,-,-
650910495,10,15,17,27,10,-,-
650910496,19,8,15,13,9,-,-
650910497,13,8,18,30,10,-,-
650910498,20,8,17,18,10,-,-
650910499,16,18,17,25,9,-,-
650910500,15,11,13,14,9,-,-
650910501,11,12,12,22,9,-,-
650910502,10,11,15,18,9,-,-
650910503,18,14,20,28,10,-,-
650910504,13,10,12,18,9,-,-
650910505,17,13,8,19,9,-,-
650910506,8,8,20,28,9,-,-
650910507,9,11,20,30,9,-,-
650910508,17,15,15,22,10,-,-
650910509,13,8,8,13,10,-,-
650910510,10,9,12,24,9,-,-
650910511,12,11,13,24,9,-,-
650910513,15,19,19,12,10,-,-
650910514,16,18,16,23,9,-,-
650910515,16,18,11,27,10,-,-
650910516,10,20,13,23,9,-,-
650910519,17,18,18,17,10,-,-
650910520,17,20,17,15,9,-,-
650910521,10,16,12,24,10,-,-
650910522,19,15,20,15,9,-,-
650910523,11,8,8,28,10,-,-
650910524,16,13,14,23,9,-,-
650910525,16,18,9,27,9,-,-
650910526,18,8,20,24,10,-,-
650910527,12,13,9,19,9,-,-
650910528,11,11,12,30,9,-,-
650910529,19,20,9,18,10,-,-
650910597,16,12,12,25,9,-,-
650910598,16,10,19,18,10,-,-
650910599,8,8,14,27,9,-,-
650910600,10,10,13,12,10,-,-
650910601,14,12,11,16,9,-,-
650910602,20,17,13,13,10,-,-
650910603,9,9,10,23,10,-,-
650910604,13,10,17,13,9,-,-
650910605,15,14,12,21,9,-,-
650910606,14,14,16,19,10,-,-
650910607,14,19,12,21,9,-,-
650910608,15,9,20,12,9,-,-
650910609,15,13,9,15,9,-,-
650910610,14,18,20,14,9,-,-
650910657,8,9,19,17,10,-,-
650910658,14,17,18,30,10,-,-
650910659,18,18,18,23,9,-,-
650910660,10,17,18,19,9,-,-
650910661,14,9,11,28,9,-,-
650910662,18,8,12,13,9,-,-
650910663,19,15,12,13,9,-,-
650910664,19,13,10,13,10,-,-
650910665,11,17,17,26,9,-,-
650910666,12,14,14,22,9,-,-
650910667,11,14,12,14,9,-,-
650910718,9,9,18,28,9,-,-
650910719,8,19,12,26,10,-,-
650910993,13,17,19,12,10,-,-
650911016,13,10,16,18,9,-,-
