Student ID,Q1,Mid,Q2,Final,Attendance,Total,Grade
650910317,8,20,12,16,9,65,C+
650910378,19,8,19,13,10,69,C+
650910379,19,17,19,12,10,77,B+
650910380,17,16,10,18,9,70,B
650910381,18,9,20,13,9,69,C+
650910382,20,8,15,21,9,73,B
650910383,12,12,11,19,9,63,C
650910384,10,16,20,23,10,79,B+
650910385,13,11,12,14,9,59,D+
650910386,20,10,15,14,10,69,C+
650910387,16,15,19,22,9,81,A
650910490,9,10,13,18,9,59,D+
650910491,17,13,11,25,10,76,B+
650910492,20,19,18,27,9,93,A
650910493,8,20,13,22,10,73,B
650910494,14,11,15,19,9,68,C+
650910495,10,9,17,19,10,65,C+
650910496,9,10,20,23,9,71,B
650910497,13,12,14,22,9,70,B
650910498,12,8,18,13,9,60,C
650910499,19,14,18,28,9,88,A
650910500,18,13,9,22,10,72,B
650910501,17,20,17,20,9,83,A
650910502,15,13,19,20,10,77,B+
650910503,12,8,14,24,9,67,C+
650910504,13,8,12,14,9,56,D+
650910505,14,20,13,20,10,77,B+
650910506,16,16,9,19,10,70,B
650910507,8,11,18,17,9,63,C
650910508,19,16,12,23,9,79,B+
650910509,13,8,12,22,10,65,C+
650910510,9,16,20,26,9,80,A
650910511,12,13,19,16,10,70,B
650910513,17,8,19,27,10,81,A
650910514,11,20,16,24,9,80,A
650910515,15,8,12,12,10,57,D+
650910516,20,17,17,26,10,90,A
650910519,8,9,8,19,9,53,D
650910520,18,16,11,19,10,74,B
650910521,13,17,13,23,10,76,B+
650910522,11,12,17,27,9,76,B+
650910523,17,13,18,13,10,71,B
650910524,12,9,11,30,9,71,B
650910525,9,13,20,18,10,70,B
650910526,18,15,13,21,9,76,B+
650910527,12,11,9,12,10,54,D
650910528,13,8,20,18,9,68,C+
650910529,9,20,14,16,9,68,C+
650910597,12,18,14,19,9,72,B
650910598,8,19,12,30,9,78,B+
650910599,10,9,18,29,10,76,B+
650910600,8,15,9,22,9,63,C
650910601,19,8,11,23,10,71,B
650910602,9,11,8,17,9,54,D
650910603,14,15,20,27,10,86,A
650910604,13,11,18,23,10,75,B+
650910605,16,20,8,24,9,77,B+
650910606,10,18,9,20,10,67,C+
650910607,11,17,8,23,9,68,C+
650910608,14,17,9,13,9,62,C
650910609,11,14,11,25,9,70,B
650910610,16,11,14,18,9,68,C+
650910657,13,15,17,25,10,80,A
650910658,19,16,13,14,9,71,B
650910659,19,15,19,30,10,93,A
650910660,19,11,19,15,9,73,B
650910661,8,9,16,13,9,55,D+
650910662,13,20,13,14,9,69,C+
650910663,14,13,14,20,10,71,B
650910664,19,13,10,29,10,81,A
650910665,8,14,18,18,9,67,C+
650910666,11,20,13,29,9,82,A
650910667,15,11,15,13,10,64,C
650910718,20,17,17,12,10,76,B+
650910719,14,20,12,16,10,72,B
650910993,8,11,12,27,9,67,C+
650911016,14,8,16,22,10,70,B
