Student ID,Q1,Mid,Q2,Final,Attendance,Total,Grade
650910317,10,14,15,25,10,-,-
650910378,17,19,9,13,10,-,-
650910379,14,16,20,23,9,-,-
650910380,11,20,10,30,10,-,-
650910381,11,13,10,30,10,-,-
650910382,15,15,16,17,10,-,-
650910383,18,19,18,19,9,-,-
650910384,20,17,11,21,10,-,-
650910385,20,19,14,19,9,-,-
650910386,16,8,14,28,10,-,-
650910387,11,18,11,12,10,-,-
650910490,14,16,10,20,10,-,-
650910491,20,10,20,15,9,-,-
650910492,16,12,19,18,10,-,-
650910493,12,11,14,23,10,-,-
650910494,12,8,8,18,9,-,-
650910495,16,13,12,23,9,-,-
650910496,8,9,11,29,10,-,-
650910497,15,9,8,17,10,-,-
650910498,12,8,14,23,9,-,-
650910499,14,9,14,27,10,-,-
650910500,18,13,8,16,9,-,-
650910501,10,8,20,30,9,-,-
650910502,18,8,10,21,9,-,-
650910503,19,8,14,17,9,-,-
650910504,11,18,11,17,10,-,-
650910505,19,9,10,28,10,-,-
650910506,9,18,19,30,9,-,-
650910507,14,18,16,24,10,-,-
650910508,16,8,19,25,10,-,-
650910509,17,19,10,14,10,-,-
650910510,11,13,13,19,9,-,-
650910511,15,19,18,23,9,-,-
650910513,16,9,14,22,10,-,-
650910514,13,18,14,30,9,-,-
650910515,18,13,17,16,10,-,-
650910516,20,13,11,28,9,-,-
650910519,9,11,18,27,9,-,-
650910520,15,8,15,21,9,-,-
650910521,10,15,8,22,9,-,-
650910522,20,15,11,23,10,-,-
650910523,17,14,9,26,9,-,-
650910524,11,17,19,13,9,-,-
650910525,9,17,8,15,10,-,-
650910526,18,15,20,18,9,-,-
650910527,19,12,8,17,10,-,-
650910528,10,19,8,12,10,-,-
650910529,9,8,15,29,9,-,-
650910597,19,19,11,27,9,-,-
650910598,18,13,12,24,10,-,-
650910599,13,16,14,30,9,-,-
650910600,13,19,16,26,10,-,-
650910601,16,13,10,21,9,-,-
650910602,14,13,10,26,9,-,-
650910603,20,8,16,24,9,-,-
650910604,9,16,18,28,9,-,-
650910605,9,8,9,25,9,-,-
650910606,12,11,13,14,10,-,-
650910607,17,18,13,28,9,-,-
650910608,16,12,13,24,10,-,-
650910609,20,17,12,16,10,-,-
650910610,20,8,10,18,10,-,-
650910657,13,10,15,30,10,-,-
650910658,17,11,15,16,10,-,-
650910659,8,8,10,21,10,-,-
650910660,8,10,20,29,10,-,-
650910661,17,11,17,22,9,-,-
650910662,17,9,17,24,10,-,-
650910663,19,12,17,21,9,-,-
650910664,8,13,14,20,9,-,-
650910665,14,9,20,12,10,-,-
650910666,12,15,9,15,9,-,-
650910667,16,15,9,13,10,-,-
650910718,15,11,14,15,9,-,-
650910719,10,13,17,25,10,-,-
650910993,10,18,18,15,9,-,-
650911016,15,12,14,17,10,-,-
